Datetime,Text,TweetID,username,geo
2020-05-31 23:20:16+00:00,Even with mask aren't we have maintain 1 meter away or more from each other across the world??? So what happened to the social distancing theory?? I remember Bill Gates mentioned bioterrorism after covid19. So it's not bio....but terrorism. 🤔,1267234471180296192,ShomalaT,
2020-05-31 23:16:00+00:00,South Korea brings back social distancing measures after #coronavirus surge',1267233398700924929,ErelRosenberg,
2020-05-31 22:32:17+00:00,LOL now yall care about social distancing and wearing a mask. Have yall gotten your haircuts so you say that now? Hypocrisy at its FINEST,1267222396294987776,deeveedee__,
2020-05-31 22:00:54+00:00,Coronavirus oi. Social distancing oi. Why still hug hug. Hah. Jk ,1267214497736843264,cockporn,
2020-05-31 19:02:14+00:00,Kanan we shouldn't go to the beach we need to maintain social distancing. ,1267169536349888512,SirDysthymia,
2020-05-31 17:28:15+00:00,Social distancing bruhhhhhhhhh ,1267145883772043264,Foochau,
2020-05-31 16:34:32+00:00,Heheheh sure will!! You too!! Stay safe stay home . Jangan merayap rayap hahahahah 😂😂😂 tapiiii social distancing kat kitchen macam susah aaaa hahahahah,1267132363135315970,azraeiaie,
2020-05-31 16:18:24+00:00,chey sike pls listen to our govt and stay at home ok!! leave ur house only if you have to social distancing + wear ur masks if you do! stay safe~~ &lt;3,1267128302558261250,leedeeyuh,
2020-05-31 15:49:23+00:00,HAHAHAHAHA ok la they deserved it in the most memorable way 🤣 with no crowd and social distancing 👏🏻 ,1267121000837115906,callmehappykid,
2020-05-31 14:57:39+00:00,Nobody Beats @Astro_SEAL for #socialdistancing. @nasa @Space_Station @spacex #wfh,1267107982300438529,scottebales,
2020-05-31 14:50:53+00:00,"Sokay no thank you. Covid ah, social distancing",1267106278863601664,lembupls,
2020-05-31 14:19:59+00:00,Lets follow strict social distancing to defend covid-19 and stand for India.Stay home..Stay safe... http://www.clifit.ai,1267098503613841409,AiClifit,
2020-05-31 13:55:32+00:00,"Hi, you can report any possible social distancing infringements at http://oneservice.sg . Thank you.",1267092349525491715,SingaporePolice,
2020-05-31 13:26:39+00:00,500 Food packs distribution to our Malaysian Friends who are still stranded here in Sg and cookies from Siti Khadijah. Adhering to strict social distancing and protective mask as well as contactless distribution in… https://www.instagram.com/p/CA2pb9vBgo3/?igshid=6ijvkxosnq0f,1267085081929187328,PGA_Charity,
2020-05-31 13:14:31+00:00,"Ketok pintu terus pas buka diletakkan di lantai depan pintu, demi social distancing yang hakiki hahahaha.. mauliate bang @rckymrz 😂😁",1267082027536281601,DavidPSinurat,
2020-05-31 11:51:23+00:00,Isnt that the whole point of social distancing??,1267061106243059712,wafflesbite,
2020-05-31 11:15:40+00:00,Harini ada geng basuh depan rumah. Seronok je menggesek gesek lantai. Tibe tibe dengar bunyi gate. Cik Faizah keluar dengan penyapu penyodok. Bagi salam social distancing je🤣,1267052119799984128,ZakiRawkx,
2020-05-31 11:05:03+00:00,I see social distancing 👀,1267049447625654273,TheGoldenUFO,
2020-05-31 11:04:24+00:00,love on earth - for my parents #crcheers #quircsingapore #ownselfpaint #safedistancing #covid19 #oilpainting #socialdistancing #brittoart @Evania https://www.instagram.com/p/CA2ZKl4nfn4/?igshid=adw4cyx1vb7k,1267049284752543745,QUIRC_Singapore,
2020-05-31 10:27:25+00:00,Stay crap works just as well imo,1267039978464280576,saran_anandan_,
2020-05-31 10:21:07+00:00,Back again with his whack ass takes,1267038390026829825,saran_anandan_,
2020-05-31 10:11:44+00:00,"Masih social distancing, manabisa we 😁",1267036028298133505,saifaliebahri_,
2020-05-31 09:28:09+00:00,"give an applause to @KKMPutrajaya 👏🏻but,we still need to stay at home,social distancing and keep hygiene☺️ ",1267025061187162113,hazwaninazura,
2020-05-31 08:43:17+00:00,A new analysis tried to estimate Americans' “willingness to pay” based on the implied value of social distancing and other public intervention ,1267013768380403712,fathershipco,
2020-05-31 08:39:06+00:00,"I would like to thank everyone that stopped by the charity stream and even stayed for a little, while we raised funds for the people affected by COVID-19. It is definitely something I would urge all of us to be aware and try to work together even in times of social distancing.&lt;3",1267012717245722627,FlynnShofo,
2020-05-31 08:30:16+00:00,Done self pampered myself sebab well twittername itself is lonely kot and i need something for my birthday huhuhuhu. Ni kalau masih lagi asyik breach PKP and social distancing ni im gonna be super disappointed with myself..,1267010495434813440,_cuddleboii,
2020-05-31 08:26:54+00:00,"Social distancing, man",1267009646453092352,jeapzhang,
2020-05-31 08:23:37+00:00,us: the dorms are crowded and the living conditions do not help adhere to social distancing these clowns: oK bUt tHeY EaT WiTH tHeIR hAnDs,1267008822926733312,maddybez,
2020-05-31 08:06:22+00:00,"Semma jilat bro, you also want GLC ah?",1267004481675202560,saran_anandan_,
2020-05-31 07:56:52+00:00,What about social distancing?,1267002087927406592,gbassakos,
2020-05-31 07:40:22+00:00,"George Floyd, Minneapolis Protests, Ahmaud Arbery & Amy Cooper | The Daily Social Distancing Show ",1266997936845516800,kerynnlee,
2020-05-31 07:36:01+00:00,Social distancing ,1266996841498808322,thehafiznasir,
