Datetime,Text,TweetID,username,geo
2020-04-30 21:43:45+00:00,"“#Coronavirus: The Road to Recovery” Virtual #Leadership Summit - May 20-21 The conference keynote speakers: General Colin Powell, #USA who will speak about leadership in challenging times, and Scott Gottlieb, M.D., former @US_FDA Commissioner https://lnkd.in/gQ_xSUv @Everbridge",1255976155527516165,danielcfng,
2020-04-30 18:43:02+00:00,Crypto Exchanges Boost Hiring in Wake of Coronavirus Crash ,1255930678379638784,analystabhishek,
2020-04-30 17:28:30+00:00,"State of the land: US ambassador in NL to appear on marginal evangelical tv station with a Winnie the Pooh, likely to talk coronavirus. Let’s see if the Chinese embassy will lash out again. ",1255911923159187456,sehof,
2020-04-30 16:30:40+00:00,Appreciate your May Day message Mr Prime Minister Please consider this for Singapore to triumph over coronavirus. Our nation need herd immunity whilst protecting the sick &amp; the vulnerable. Lockdown gets nowhere as you still need an exit. Can we control open our nation?,1255897368932659206,ninakhong,
2020-04-30 15:48:04+00:00,Corona virus lepas tu flooding. Kesiannya Malaysia,1255886647994068993,AdammaOsman,
2020-04-30 15:36:03+00:00,"Satu lagi gejala #COVID19 di kalangan yg tidak mengalami gejala pernafasan: jari kaki memerah karena coronavirus bisa gumpalkan darah. Kalau di otak jadi stroke na'udzubillah, kalau di ujung bawah jadi seperti ""kutu air"" begini. Dan trend google ""kutu air"" naik di Indonesia 🇮🇩 https://twitter.com/pourteaux/status/1255620008664805376",1255883621254049794,ainunnajib,
2020-04-30 14:41:23+00:00,Unmask the mask effect by Apple face id #Apple #mask #coronavirus ,1255869865665032193,jwalantudesai,
2020-04-30 14:35:44+00:00,Virus and blood vessel disease- any correlation? Scientist to answer #bloodvessel #coronavirus #science,1255868442831237123,jwalantudesai,
2020-04-30 14:34:27+00:00,Trumpification of Coronavirus #trumpification #coronavirus #coronausa #Covid_19,1255868120473890816,jwalantudesai,
2020-04-30 09:15:28+00:00,Coronavirus: ST produces compilation of songs as part of fund-raising campaign https://str.sg/JQ36 #SGunited,1255787847358926849,JerrinaA,
2020-04-30 04:19:06+00:00,Chinese Arab Fusion #Singkarpor #Shophouses Shop in the time of Coronavirus @Arab Street https://www.instagram.com/p/B_l2H0qnuHz/?igshid=1cvv9nhelq6qg,1255713263888863232,reviveramesh,
2020-04-30 03:37:04+00:00,"Canada, you’re not alone. 🇨🇦 🇸🇬 #coronavirus #LockdownExtended #singaporeexpat",1255702684289531904,PamelaLeierJet,
2020-04-30 02:08:28+00:00,Thirty days with #COVID19 - the hidden gifts adversity holds. My latest via @Forbes @ForbesAsia @ForbesWomen #CoronavirusPandemic #Courage2020 #coronavirus ,1255680388439044097,margiewarrell,
2020-04-29 08:35:02+00:00,Various theories to comprehend current Coronavirus situation. ERROR 404 #COVID19 #coronavirus #circuitbreakersg #StayHome,1255415283789029376,jwalantudesai,
2020-04-29 08:31:12+00:00,There is a ray of hope but not with sunlight for Coronavirus #COVID19 #coronavirus #workingfromhome #StayHome @nytimes,1255414318687977472,jwalantudesai,
2020-04-29 08:23:31+00:00,"Japan coronavirus cases top 10,000, driven by younger patients ",1255412385214586882,ninakhong,
2020-04-29 07:06:22+00:00,"Tokyo has a similar population number and density to New York. Tokyo has recorded 100 coronavirus related deaths and New York has 17,682. Why the difference?",1255392968690798597,thebendingone,
2020-04-29 04:44:30+00:00,#Singapore #covid_19 #latestupdate .. Hope the numbers will gradually gets lower soon.. ✌🏼☺️☺️ . #rcssingapore #singapore_insta #singapore🇸🇬 #sgunited #coronavirus #covid19 #coronavirusoutbreak #havehope… https://www.instagram.com/p/B_jUPmphLwP/?igshid=1dkecdvja3fis,1255357265982480386,rosse_tdl,
2020-04-28 16:39:20+00:00,"Tom&Jerry al tempo del Coronavirus: «Un metro», il nuovo graffito di Maupal https://www.ilmattino.it/cultura/mostre/coronavirus_murale_maupal_borgo_tom_gerry_roma-5197674.html @mattinodinapoli",1255174771349655555,mauro_crescenzo,
2020-04-28 15:11:32+00:00,Small contribution from my family to my native people during #coronavirus Lockdown period. ,1255152675982700546,BalumahendraK,
2020-04-28 14:22:02+00:00,"In PPE (Personal rotective equipment) suit during work, doing my part to help those affected by Coronavirus disease. #Coronavirus #Coronavid19 #Covid19 #PPE @Tanjung Gul Camp https://www.instagram.com/p/B_hxjTXjcC4/?igshid=g35exvgpw7y8",1255140221072453635,Muhd_Shariff,
2020-04-28 12:43:14+00:00,Tangs in the time of Coronavirus... #covid19sg @Orchard https://www.instagram.com/p/B_hmPkwHutO/?igshid=18871zqwey8xk,1255115355057463296,reviveramesh,
2020-04-28 09:43:04+00:00,🤯 this is pretty crazy — Did Dean Koontz predict the coronavirus in a 1981 novel https://www.cnn.com/2020/03/13/us/dean-koontz-novel-coronavirus-debunk-trnd/index.html,1255070015352532993,chrissbell,
2020-04-28 07:45:09+00:00,#wfh #moneyfm893 #sphradio catch the sport news 4-7pm and full news 8-10pm #covid19 #coronavirus #circuitbreaker #washyourhands #homesetup #adobeaudition #audiotechnica #cobragolf #pumagolf #macbookpro #ipadpro2020… https://www.instagram.com/p/B_hEIYdnhQn/?igshid=1nsx9hzfhlf3y,1255040339494068225,bernardlim108,
2020-04-28 04:00:23+00:00,😷 #stayhome #staysafe #kitajagakita #covid19 #coronavirus #coronamemes #wuhan #aworld0fchaos #malaysia @Johor Bahru https://www.instagram.com/p/B_gqXu9HXmZ/?igshid=rf9b869np8ny,1254983774640705545,Navin_149,
2020-04-28 01:48:22+00:00,A helicopter ride #chuckle #tiktok #helicopter #laughteristhebestmedicine #goodmorning #wfh #covid19 #coronavirus #washyourhands #stayhome #staysafe #circuitbreaker @Singapore https://www.instagram.com/p/B_gZA3aH_zw/?igshid=c4q1tkjwjqqo,1254950552003244032,bernardlim108,
2020-04-27 22:20:35+00:00,Fucking corona virus ,1254898263305543680,catatansiridha,
