date,Percent_change_from_baseline
2020-01-15,0.0
2020-01-16,0.2
2020-01-17,0.3
2020-01-18,0.0
2020-01-19,-0.4
2020-01-20,-0.8
2020-01-21,-0.7000000000000001
2020-01-22,-0.8999999999999999
2020-01-23,-1.7000000000000002
2020-01-24,-2.5
2020-01-25,-5.3
2020-01-26,-9.0
2020-01-27,-12.1
2020-01-28,-15.299999999999999
2020-01-29,-17.8
2020-01-30,-20.599999999999998
2020-01-31,-22.0
2020-02-01,-20.8
2020-02-02,-18.9
2020-02-03,-17.1
2020-02-04,-14.499999999999998
2020-02-05,-12.4
2020-02-06,-11.0
2020-02-07,-10.9
2020-02-08,-10.5
2020-02-09,-11.799999999999999
2020-02-10,-13.3
2020-02-11,-14.6
2020-02-12,-16.3
2020-02-13,-17.299999999999997
2020-02-14,-18.7
2020-02-15,-20.0
2020-02-16,-20.1
2020-02-17,-20.1
2020-02-18,-19.900000000000002
2020-02-19,-19.7
2020-02-20,-19.3
2020-02-21,-18.9
2020-02-22,-19.1
2020-02-23,-18.7
2020-02-24,-18.3
2020-02-25,-18.0
2020-02-26,-17.7
2020-02-27,-17.1
2020-02-28,-16.400000000000002
2020-02-29,-15.9
2020-03-01,-15.7
2020-03-02,-14.7
2020-03-03,-14.099999999999998
2020-03-04,-13.900000000000002
2020-03-05,-13.8
2020-03-06,-14.099999999999998
2020-03-07,-14.399999999999999
2020-03-08,-14.799999999999999
2020-03-09,-14.899999999999999
2020-03-10,-15.0
2020-03-11,-13.100000000000001
2020-03-12,-13.100000000000001
2020-03-13,-13.4
2020-03-14,-14.399999999999999
2020-03-15,-14.399999999999999
2020-03-16,-14.399999999999999
2020-03-17,-14.299999999999999
2020-03-18,-15.7
2020-03-19,-15.5
2020-03-20,-16.400000000000002
2020-03-21,-17.599999999999998
2020-03-22,-18.5
2020-03-23,-19.7
2020-03-24,-20.8
2020-03-25,-22.2
2020-03-26,-24.2
2020-03-27,-25.900000000000002
2020-03-28,-28.499999999999996
2020-03-29,-30.599999999999998
2020-03-30,-32.0
2020-03-31,-32.9
2020-04-01,-33.900000000000006
2020-04-02,-34.5
2020-04-03,-35.099999999999994
2020-04-04,-36.3
2020-04-05,-36.8
2020-04-06,-36.9
2020-04-07,-37.4
2020-04-08,-40.1
2020-04-09,-43.8
2020-04-10,-47.699999999999996
2020-04-11,-51.9
2020-04-12,-56.10000000000001
2020-04-13,-61.3
2020-04-14,-68.5
2020-04-15,-71.1
2020-04-16,-72.1
2020-04-17,-73.2
2020-04-18,-73.2
2020-04-19,-73.7
2020-04-20,-73.9
2020-04-21,-74.1
2020-04-22,-74.6
2020-04-23,-74.4
2020-04-24,-74.6
2020-04-25,-75.1
2020-04-26,-75.5
2020-04-27,-76.0
2020-04-28,-76.2
2020-04-29,-76.2
2020-04-30,-76.7
2020-05-01,-76.7
2020-05-02,-76.8
2020-05-03,-76.6
2020-05-04,-76.3
2020-05-05,-76.0
2020-05-06,-75.8
2020-05-07,-75.7
2020-05-08,-75.7
2020-05-09,-75.3
2020-05-10,-75.3
2020-05-11,-75.2
2020-05-12,-75.4
2020-05-13,-75.1
2020-05-14,-75.1
2020-05-15,-74.6
2020-05-16,-74.7
2020-05-17,-74.3
2020-05-18,-73.6
2020-05-19,-73.1
2020-05-20,-72.89999999999999
2020-05-21,-72.5
2020-05-22,-72.3
2020-05-23,-72.1
2020-05-24,-71.89999999999999
